what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576829579305
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1576829580302
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576829581879
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576829583269
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576829588245
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1576829590824
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.AllMarkersView",1576829595129
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1576829596984
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576829709165
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576829709205
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1576829724520
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1576829725000
executed,command,,,"AUTOGEN:::org.eclipse.jst.jsp.core.jspsource.ruler.actions/org.eclipse.ui.texteditor.SelectRulerAction",1576829727457
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1576829728947
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1576829731018
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576829731315
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576829731385
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1576829736823
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1576829738580
opened,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1576829741971
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1576829741991
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576829743458
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576829748120
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1576829750445
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1576829751893
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576829752078
error,log,,,"Several ports (8080, 8009) required by Tomcat v7.0 Server at localhost are already in use. The server may already be running in another process, or a system process may be using the port. To start this server you will need to stop the other process or change the port number(s).",1576829756967
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576829765776
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1576829767990
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1576829768060
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1576829768450
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1576829768470
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1576829770252
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576829780939
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576830558335
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576830561615
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576830569570
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576830576131
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576830576141
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576830606755
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576830606837
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576830606907
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576830664468
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576830669913
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576830706818
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1576830721593
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1576830724742
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1576830740994
